ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_0_0_plot_001_x,ax_0_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_1_0_plot_003_x,ax_1_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y,ax_2_0_plot_005_x,ax_2_0_plot_005_y
0.11328125,-0.13774195,0.11328125,0.302277099944766,0.11328125,0.30117133,0.11328125,0.30117136,0.11328125,2.0458136,0.11328125,2.0458136
0.115234375,-0.18219697,0.115234375,0.3059429325205116,0.115234375,0.30496117,0.115234375,0.30496117,0.115234375,2.2111053,0.115234375,2.211105
0.1171875,-0.22285506,0.1171875,0.3096343229251447,0.1171875,0.3088142,0.1171875,0.30881414,0.1171875,2.3769755,0.1171875,2.3769758
0.119140625,-0.25841573,0.119140625,0.3133511262158683,0.119140625,0.3126936,0.119140625,0.3126935,0.119140625,2.5435135,0.119140625,2.543513
0.12109375,-0.28766745,0.12109375,0.3170931910245482,0.12109375,0.31662032,0.12109375,0.31662047,0.12109375,2.7106116,0.12109375,2.7106113
0.123046875,-0.30952904,0.123046875,0.3208603595177615,0.123046875,0.32056922,0.123046875,0.3205693,0.123046875,2.878385,0.123046875,2.8783855
0.125,-0.32308918,0.125,0.3246524673583497,0.125,0.32454872,0.125,0.3245487,0.125,3.0467193,0.125,3.0467196
0.126953125,-0.32764357,0.126953125,0.328469343668512,0.126953125,0.3285463,0.126953125,0.32854638,0.126953125,-3.0674446,0.126953125,-3.0674443
0.12890625,-0.32272765,0.12890625,0.3323108109944678,0.12890625,0.3325577,0.12890625,0.3325579,0.12890625,-2.8978472,0.12890625,-2.8978477
0.130859375,-0.3081436,0.130859375,0.3361766852727216,0.130859375,0.3365844,0.130859375,0.3365845,0.130859375,-2.72755,0.130859375,-2.7275496
0.1328125,-0.2839809,0.1328125,0.3400667757979612,0.1328125,0.34061,0.1328125,0.3406101,0.1328125,-2.5566473,0.1328125,-2.556647
0.134765625,-0.25062865,0.134765625,0.3439808851926204,0.134765625,0.34464863,0.134765625,0.34464875,0.134765625,-2.3850312,0.134765625,-2.385031
0.13671875,-0.20877904,0.13671875,0.3479188093781352,0.13671875,0.34867495,0.13671875,0.34867504,0.13671875,-2.2127717,0.13671875,-2.2127717
0.138671875,-0.1594211,0.138671875,0.351880337547927,0.138671875,0.35271338,0.138671875,0.35271347,0.138671875,-2.0397856,0.138671875,-2.0397856
0.140625,-0.103824496,0.140625,0.3558652521421384,0.140625,0.3567325,0.140625,0.35673246,0.140625,-1.8661132,0.140625,-1.866113
0.142578125,-0.04351296,0.142578125,0.3598733288241545,0.142578125,0.3607639,0.142578125,0.36076388,0.142578125,-1.6917042,0.142578125,-1.6917037
0.14453125,0.01977226,0.14453125,0.3639043364589369,0.14453125,0.3647739,0.14453125,0.36477393,0.14453125,-1.5165653,0.14453125,-1.5165654
0.146484375,0.08411844,0.146484375,0.3679580370931993,0.146484375,0.3687975,0.146484375,0.36879757,0.146484375,-1.3406825,0.146484375,-1.3406825
0.1484375,0.14749591,0.1484375,0.3720341859374524,0.1484375,0.37280315,0.1484375,0.37280327,0.1484375,-1.1640316,0.1484375,-1.1640315
0.150390625,0.20781976,0.150390625,0.376132531349947,0.150390625,0.3768245,0.150390625,0.37682444,0.150390625,-0.9866319,0.150390625,-0.98663145
0.15234375,0.2630171,0.15234375,0.3802528148225402,0.15234375,0.3808356,0.15234375,0.3808356,0.15234375,-0.80843395,0.15234375,-0.8084343
