ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_1_0_plot_001_x,ax_1_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_2_0_plot_003_x,ax_2_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y
0.140625,0.55557024,0.140625,1.0,0.140625,0.99999994,0.140625,0.98174775,0.140625,0.98174775
0.142578125,0.44961134,0.142578125,1.0000001,0.142578125,0.9999999,0.142578125,1.1044662,0.142578125,1.1044662
0.14453125,0.33688986,0.14453125,1.0,0.14453125,1.0000001,0.14453125,1.2271848,0.14453125,1.2271845
0.146484375,0.21910124,0.146484375,0.99999994,0.146484375,1.0,0.146484375,1.3499031,0.146484375,1.3499032
0.1484375,0.09801714,0.1484375,1.0000001,0.1484375,0.9999999,0.1484375,1.4726217,0.1484375,1.4726216
0.150390625,-0.024541229,0.150390625,0.9999999,0.150390625,0.99999994,0.150390625,1.5953401,0.150390625,1.59534
0.15234375,-0.14673047,0.15234375,0.99999994,0.15234375,1.0,0.15234375,1.7180585,0.15234375,1.7180586
0.154296875,-0.26671275,0.154296875,0.9999999,0.154296875,0.9999999,0.154296875,1.8407769,0.154296875,1.8407769
0.15625,-0.38268343,0.15625,1.0,0.15625,1.0000001,0.15625,1.9634954,0.15625,1.9634953
0.158203125,-0.4928982,0.158203125,0.99999994,0.158203125,1.0000001,0.158203125,2.0862138,0.158203125,2.086214
0.16015625,-0.5956993,0.16015625,0.99999994,0.16015625,0.99999994,0.16015625,2.2089324,0.16015625,2.2089324
0.162109375,-0.68954057,0.162109375,1.0,0.162109375,1.0,0.162109375,2.3316507,0.162109375,2.3316507
0.1640625,-0.77301043,0.1640625,1.0000001,0.1640625,1.0,0.1640625,2.4543693,0.1640625,2.4543693
0.166015625,-0.8448536,0.166015625,1.0,0.166015625,1.0000001,0.166015625,2.5770876,0.166015625,2.5770876
0.16796875,-0.9039893,0.16796875,1.0000001,0.16796875,1.0,0.16796875,2.6998062,0.16796875,2.6998062
0.169921875,-0.94952816,0.169921875,0.99999994,0.169921875,1.0,0.169921875,2.8225248,0.169921875,2.8225248
0.171875,-0.98078525,0.171875,0.9999998,0.171875,0.9999999,0.171875,2.9452434,0.171875,2.9452431
0.173828125,-0.99729043,0.173828125,0.9999999,0.173828125,1.0,0.173828125,3.0679615,0.173828125,3.0679617
0.17578125,-0.99879545,0.17578125,0.9999999,0.17578125,1.0,0.17578125,-3.0925052,0.17578125,-3.0925052
0.177734375,-0.98527765,0.177734375,1.0000001,0.177734375,1.0,0.177734375,-2.9697866,0.177734375,-2.9697866
0.1796875,-0.95694035,0.1796875,0.99999994,0.1796875,1.0,0.1796875,-2.8470683,0.1796875,-2.8470683
0.181640625,-0.9142098,0.181640625,0.9999999,0.181640625,0.9999999,0.181640625,-2.72435,0.181640625,-2.7243497
0.18359375,-0.8577286,0.18359375,1.0,0.18359375,0.9999999,0.18359375,-2.6016314,0.18359375,-2.6016314
0.185546875,-0.7883464,0.185546875,0.9999999,0.185546875,1.0000001,0.185546875,-2.478913,0.185546875,-2.4789128
0.1875,-0.70710677,0.1875,0.99999994,0.1875,0.9999999,0.1875,-2.3561945,0.1875,-2.3561943
0.189453125,-0.6152316,0.189453125,1.0,0.189453125,0.9999999,0.189453125,-2.2334762,0.189453125,-2.2334762
0.19140625,-0.51410276,0.19140625,0.9999999,0.19140625,1.0,0.19140625,-2.1107574,0.19140625,-2.1107576
0.193359375,-0.4052413,0.193359375,0.9999999,0.193359375,0.99999994,0.193359375,-1.9880391,0.193359375,-1.9880391
0.1953125,-0.29028466,0.1953125,1.0000001,0.1953125,1.0000001,0.1953125,-1.8653207,0.1953125,-1.8653207
0.197265625,-0.17096189,0.197265625,1.0000001,0.197265625,1.0,0.197265625,-1.7426021,0.197265625,-1.7426021
0.19921875,-0.049067676,0.19921875,0.9999999,0.19921875,0.9999998,0.19921875,-1.6198837,0.19921875,-1.6198837
0.201171875,0.07356457,0.201171875,0.99999994,0.201171875,0.99999994,0.201171875,-1.4971653,0.201171875,-1.4971653
0.203125,0.19509032,0.203125,0.99999994,0.203125,1.0,0.203125,-1.3744469,0.203125,-1.3744467
0.205078125,0.31368175,0.205078125,1.0000001,0.205078125,1.0,0.205078125,-1.2517283,0.205078125,-1.2517282
0.20703125,0.42755508,0.20703125,1.0000001,0.20703125,1.0,0.20703125,-1.1290098,0.20703125,-1.12901
0.208984375,0.53499764,0.208984375,0.99999994,0.208984375,1.0000001,0.208984375,-1.0062913,0.208984375,-1.0062912
0.2109375,0.6343933,0.2109375,1.0,0.2109375,0.9999999,0.2109375,-0.8835728,0.2109375,-0.8835727
0.212890625,0.7242471,0.212890625,1.0000001,0.212890625,0.9999998,0.212890625,-0.7608545,0.212890625,-0.7608544
0.21484375,0.8032075,0.21484375,1.0,0.21484375,0.9999999,0.21484375,-0.638136,0.21484375,-0.638136
0.216796875,0.87008697,0.216796875,0.9999999,0.216796875,1.0,0.216796875,-0.5154176,0.216796875,-0.51541764
0.21875,0.9238795,0.21875,1.0,0.21875,1.0,0.21875,-0.3926991,0.21875,-0.39269915
